league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,diff_rank,total_score,total_rank,franchise_name,user_name,franchise_name_opponent,user_name_opponent
LTS Bowl - L1,1,1,185.96,7,176.9,W,9.060000000000002,47,362.86,6,Weagle85,Weagle85,ctjoumas,ctjoumas
LTS Bowl - L1,1,2,183.65,9,147.02,W,36.629999999999995,19,330.67,17,fromcutstobytes,fromcutstobytes,Fozberry64,Fozberry64
LTS Bowl - L1,1,3,216.36,8,147.39,W,68.97000000000003,4,363.75,5,Mr. High Tea,OhShagHennessy,Becoming an LTS Bowl Bro,arthurdantas
LTS Bowl - L1,1,4,146.17,10,151.08,L,4.910000000000025,53,297.25,35,fantasyscott,fantasyscott,Not Sure,bartonscott84
LTS Bowl - L1,1,5,152.26,6,150.87,W,1.3899999999999864,61,303.13,31,Chillin Like a McMillan,Klabbertrap,Horsey Sauce,FeelingDangerouz
LTS Bowl - L1,1,6,150.87,5,152.26,L,1.3899999999999864,61,303.13,31,Horsey Sauce,FeelingDangerouz,Chillin Like a McMillan,Klabbertrap
LTS Bowl - L1,1,7,176.9,1,185.96,L,9.060000000000002,47,362.86,6,ctjoumas,ctjoumas,Weagle85,Weagle85
LTS Bowl - L1,1,8,147.39,3,216.36,L,68.97000000000003,4,363.75,5,Becoming an LTS Bowl Bro,arthurdantas,Mr. High Tea,OhShagHennessy
LTS Bowl - L1,1,9,147.02,2,183.65,L,36.629999999999995,19,330.67,17,Fozberry64,Fozberry64,fromcutstobytes,fromcutstobytes
LTS Bowl - L1,1,10,151.08,4,146.17,W,4.910000000000025,53,297.25,35,Not Sure,bartonscott84,fantasyscott,fantasyscott
LTS Bowl - L1,1,11,179.26,12,158.8,W,20.45999999999998,33,338.06,10,Not Great Bob,tommcg17,Bad Faith Bad Fantasy,cptbeefalo
LTS Bowl - L1,1,12,158.8,11,179.26,L,20.45999999999998,33,338.06,10,Bad Faith Bad Fantasy,cptbeefalo,Not Great Bob,tommcg17
LTS Bowl - L1,2,1,137.06,9,154.24,L,17.180000000000007,37,291.3,37,Weagle85,Weagle85,Fozberry64,Fozberry64
LTS Bowl - L1,2,2,162.06,3,135.75,W,26.310000000000002,27,297.81,34,fromcutstobytes,fromcutstobytes,Mr. High Tea,OhShagHennessy
LTS Bowl - L1,2,3,135.75,2,162.06,L,26.310000000000002,27,297.81,34,Mr. High Tea,OhShagHennessy,fromcutstobytes,fromcutstobytes
LTS Bowl - L1,2,4,175.58,12,136.25,W,39.33000000000001,17,311.83000000000004,25,fantasyscott,fantasyscott,Bad Faith Bad Fantasy,cptbeefalo
LTS Bowl - L1,2,5,122.07,7,174.33,L,52.26000000000002,10,296.4,36,Chillin Like a McMillan,Klabbertrap,ctjoumas,ctjoumas
LTS Bowl - L1,2,6,197.12,10,151.46,W,45.66,12,348.58000000000004,9,Horsey Sauce,FeelingDangerouz,Not Sure,bartonscott84
LTS Bowl - L1,2,7,174.33,5,122.07,W,52.26000000000002,10,296.4,36,ctjoumas,ctjoumas,Chillin Like a McMillan,Klabbertrap
LTS Bowl - L1,2,8,131.52,11,136.93,L,5.409999999999997,51,268.45000000000005,43,Becoming an LTS Bowl Bro,arthurdantas,Not Great Bob,tommcg17
LTS Bowl - L1,2,9,154.24,1,137.06,W,17.180000000000007,37,291.3,37,Fozberry64,Fozberry64,Weagle85,Weagle85
LTS Bowl - L1,2,10,151.46,6,197.12,L,45.66,12,348.58000000000004,9,Not Sure,bartonscott84,Horsey Sauce,FeelingDangerouz
LTS Bowl - L1,2,11,136.93,8,131.52,W,5.409999999999997,51,268.45000000000005,43,Not Great Bob,tommcg17,Becoming an LTS Bowl Bro,arthurdantas
LTS Bowl - L1,2,12,136.25,4,175.58,L,39.33000000000001,17,311.83000000000004,25,Bad Faith Bad Fantasy,cptbeefalo,fantasyscott,fantasyscott
LTS Bowl - L1,3,1,0,3,0,NA,0,68,0,68,Weagle85,Weagle85,Mr. High Tea,OhShagHennessy
LTS Bowl - L1,3,2,11.35,11,1,NA,10.35,45,12.35,59,fromcutstobytes,fromcutstobytes,Not Great Bob,tommcg17
LTS Bowl - L1,3,3,0,1,0,NA,0,68,0,68,Mr. High Tea,OhShagHennessy,Weagle85,Weagle85
LTS Bowl - L1,3,4,0,6,0,NA,0,68,0,68,fantasyscott,fantasyscott,Horsey Sauce,FeelingDangerouz
LTS Bowl - L1,3,5,21.75,9,0,NA,21.75,30,21.75,54,Chillin Like a McMillan,Klabbertrap,Fozberry64,Fozberry64
LTS Bowl - L1,3,6,0,4,0,NA,0,68,0,68,Horsey Sauce,FeelingDangerouz,fantasyscott,fantasyscott
LTS Bowl - L1,3,7,34.45,10,10.92,NA,23.53,29,45.370000000000005,49,ctjoumas,ctjoumas,Not Sure,bartonscott84
LTS Bowl - L1,3,8,5.15,12,4.2,NA,0.9500000000000002,65,9.350000000000001,63,Becoming an LTS Bowl Bro,arthurdantas,Bad Faith Bad Fantasy,cptbeefalo
LTS Bowl - L1,3,9,0,5,21.75,NA,21.75,30,21.75,54,Fozberry64,Fozberry64,Chillin Like a McMillan,Klabbertrap
LTS Bowl - L1,3,10,10.92,7,34.45,NA,23.53,29,45.370000000000005,49,Not Sure,bartonscott84,ctjoumas,ctjoumas
LTS Bowl - L1,3,11,1,2,11.35,NA,10.35,45,12.35,59,Not Great Bob,tommcg17,fromcutstobytes,fromcutstobytes
LTS Bowl - L1,3,12,4.2,8,5.15,NA,0.9500000000000002,65,9.350000000000001,63,Bad Faith Bad Fantasy,cptbeefalo,Becoming an LTS Bowl Bro,arthurdantas
LTS Bowl - L2,1,1,176.21,2,191.47,L,15.259999999999991,38,367.68,4,Vandelay Industries,DGo81,Natanab,Natanab
LTS Bowl - L2,1,2,191.47,1,176.21,W,15.259999999999991,38,367.68,4,Natanab,Natanab,Vandelay Industries,DGo81
LTS Bowl - L2,1,3,130.42,5,203.77,L,73.35000000000002,3,334.19,13,Randomizer Intern Program,matthewdwood82,The Huge Mistaeks,RipSlabcheek
LTS Bowl - L2,1,4,173.83,7,158.97,W,14.860000000000014,39,332.8,14,"Your Mother, Actually….",DrWraith84,AJ's Animals ,TheManSoNice
LTS Bowl - L2,1,5,203.77,3,130.42,W,73.35000000000002,3,334.19,13,The Huge Mistaeks,RipSlabcheek,Randomizer Intern Program,matthewdwood82
LTS Bowl - L2,1,6,155.68,10,110.69,W,44.99000000000001,13,266.37,44,aspires,aspires,DeadEndFriends,DeadEndFriends
LTS Bowl - L2,1,7,158.97,4,173.83,L,14.860000000000014,39,332.8,14,AJ's Animals ,TheManSoNice,"Your Mother, Actually….",DrWraith84
LTS Bowl - L2,1,8,134.76,9,190.25,L,55.49000000000001,7,325.01,18,All roads,stephensear,Crotch Crickets,jojodancer35
LTS Bowl - L2,1,9,190.25,8,134.76,W,55.49000000000001,7,325.01,18,Crotch Crickets,jojodancer35,All roads,stephensear
LTS Bowl - L2,1,10,110.69,6,155.68,L,44.99000000000001,13,266.37,44,DeadEndFriends,DeadEndFriends,aspires,aspires
LTS Bowl - L2,1,11,158.14,12,162.3,L,4.160000000000025,57,320.44,20,Dr. Poop Show,Napper,Byronchenko,Byronchenko
LTS Bowl - L2,1,12,162.3,11,158.14,W,4.160000000000025,57,320.44,20,Byronchenko,Byronchenko,Dr. Poop Show,Napper
LTS Bowl - L2,2,1,154.1,12,150.59,W,3.509999999999991,58,304.69,30,Vandelay Industries,DGo81,Byronchenko,Byronchenko
LTS Bowl - L2,2,2,159.5,5,140.29,W,19.210000000000008,35,299.78999999999996,33,Natanab,Natanab,The Huge Mistaeks,RipSlabcheek
LTS Bowl - L2,2,3,153.65,4,154.9,L,1.25,62,308.55,27,Randomizer Intern Program,matthewdwood82,"Your Mother, Actually….",DrWraith84
LTS Bowl - L2,2,4,154.9,3,153.65,W,1.25,62,308.55,27,"Your Mother, Actually….",DrWraith84,Randomizer Intern Program,matthewdwood82
LTS Bowl - L2,2,5,140.29,2,159.5,L,19.210000000000008,35,299.78999999999996,33,The Huge Mistaeks,RipSlabcheek,Natanab,Natanab
LTS Bowl - L2,2,6,161.69,11,140.84,W,20.849999999999994,31,302.53,32,aspires,aspires,Dr. Poop Show,Napper
LTS Bowl - L2,2,7,114.73,9,153.89,L,39.15999999999998,18,268.62,42,AJ's Animals ,TheManSoNice,Crotch Crickets,jojodancer35
LTS Bowl - L2,2,8,148.25,10,183.06,L,34.81,23,331.31,16,All roads,stephensear,DeadEndFriends,DeadEndFriends
LTS Bowl - L2,2,9,153.89,7,114.73,W,39.15999999999998,18,268.62,42,Crotch Crickets,jojodancer35,AJ's Animals ,TheManSoNice
LTS Bowl - L2,2,10,183.06,8,148.25,W,34.81,23,331.31,16,DeadEndFriends,DeadEndFriends,All roads,stephensear
LTS Bowl - L2,2,11,140.84,6,161.69,L,20.849999999999994,31,302.53,32,Dr. Poop Show,Napper,aspires,aspires
LTS Bowl - L2,2,12,150.59,1,154.1,L,3.509999999999991,58,304.69,30,Byronchenko,Byronchenko,Vandelay Industries,DGo81
LTS Bowl - L2,3,1,0,6,0,NA,0,68,0,68,Vandelay Industries,DGo81,aspires,aspires
LTS Bowl - L2,3,2,0,12,5.15,NA,5.15,52,5.15,65,Natanab,Natanab,Byronchenko,Byronchenko
LTS Bowl - L2,3,3,0,9,35.45,NA,35.45,20,35.45,51,Randomizer Intern Program,matthewdwood82,Crotch Crickets,jojodancer35
LTS Bowl - L2,3,4,10.92,5,9.5,NA,1.42,60,20.42,56,"Your Mother, Actually….",DrWraith84,The Huge Mistaeks,RipSlabcheek
LTS Bowl - L2,3,5,9.5,4,10.92,NA,1.42,60,20.42,56,The Huge Mistaeks,RipSlabcheek,"Your Mother, Actually….",DrWraith84
LTS Bowl - L2,3,6,0,1,0,NA,0,68,0,68,aspires,aspires,Vandelay Industries,DGo81
LTS Bowl - L2,3,7,0,10,12.25,NA,12.25,42,12.25,61,AJ's Animals ,TheManSoNice,DeadEndFriends,DeadEndFriends
LTS Bowl - L2,3,8,0,11,12.35,NA,12.35,41,12.35,59,All roads,stephensear,Dr. Poop Show,Napper
LTS Bowl - L2,3,9,35.45,3,0,NA,35.45,20,35.45,51,Crotch Crickets,jojodancer35,Randomizer Intern Program,matthewdwood82
LTS Bowl - L2,3,10,12.25,7,0,NA,12.25,42,12.25,61,DeadEndFriends,DeadEndFriends,AJ's Animals ,TheManSoNice
LTS Bowl - L2,3,11,12.35,8,0,NA,12.35,41,12.35,59,Dr. Poop Show,Napper,All roads,stephensear
LTS Bowl - L2,3,12,5.15,2,0,NA,5.15,52,5.15,65,Byronchenko,Byronchenko,Natanab,Natanab
The Only Legitimate LTS Bowl League - L3,1,1,167.63,12,168.01,L,0.37999999999999545,67,335.64,12,johnnysmomskid,johnnysmomskid,caemeron,caemeron
The Only Legitimate LTS Bowl League - L3,1,2,175.16,5,161.63,W,13.530000000000001,40,336.78999999999996,11,Speaks Kindly Holds Knife,Deredactyl,39ers,tripp39
The Only Legitimate LTS Bowl League - L3,1,3,153.35,8,160.54,L,7.189999999999998,49,313.89,24,Closet Poopers,coots1185,Egg Chasers,alexewart
The Only Legitimate LTS Bowl League - L3,1,4,199.93,6,157.16,W,42.77000000000001,14,357.09000000000003,7,Turd Ferguson,TurdFergusonFF,The WOKE FAAB,reginaldo
The Only Legitimate LTS Bowl League - L3,1,5,161.63,2,175.16,L,13.530000000000001,40,336.78999999999996,11,39ers,tripp39,Speaks Kindly Holds Knife,Deredactyl
The Only Legitimate LTS Bowl League - L3,1,6,157.16,4,199.93,L,42.77000000000001,14,357.09000000000003,7,The WOKE FAAB,reginaldo,Turd Ferguson,TurdFergusonFF
The Only Legitimate LTS Bowl League - L3,1,7,147.11,9,158.51,L,11.399999999999977,43,305.62,29,SycamoreFlynns,SycamoreFlynns,WilhelmTilt,ringular
The Only Legitimate LTS Bowl League - L3,1,8,160.54,3,153.35,W,7.189999999999998,49,313.89,24,Egg Chasers,alexewart,Closet Poopers,coots1185
The Only Legitimate LTS Bowl League - L3,1,9,158.51,7,147.11,W,11.399999999999977,43,305.62,29,WilhelmTilt,ringular,SycamoreFlynns,SycamoreFlynns
The Only Legitimate LTS Bowl League - L3,1,10,206.63,11,125.04,W,81.58999999999999,2,331.67,15,SOTBD,SOTBD,Greenhorns,D3M090
The Only Legitimate LTS Bowl League - L3,1,11,125.04,10,206.63,L,81.58999999999999,2,331.67,15,Greenhorns,D3M090,SOTBD,SOTBD
The Only Legitimate LTS Bowl League - L3,1,12,168.01,1,167.63,W,0.37999999999999545,67,335.64,12,caemeron,caemeron,johnnysmomskid,johnnysmomskid
The Only Legitimate LTS Bowl League - L3,2,1,188.11,4,135.57,W,52.54000000000002,9,323.68,19,johnnysmomskid,johnnysmomskid,Turd Ferguson,TurdFergusonFF
The Only Legitimate LTS Bowl League - L3,2,2,170.83,10,199.93,L,29.099999999999994,26,370.76,3,Speaks Kindly Holds Knife,Deredactyl,SOTBD,SOTBD
The Only Legitimate LTS Bowl League - L3,2,3,85.52,9,110.11,L,24.590000000000003,28,195.63,48,Closet Poopers,coots1185,WilhelmTilt,ringular
The Only Legitimate LTS Bowl League - L3,2,4,135.57,1,188.11,L,52.54000000000002,9,323.68,19,Turd Ferguson,TurdFergusonFF,johnnysmomskid,johnnysmomskid
The Only Legitimate LTS Bowl League - L3,2,5,114.1,12,147.67,L,33.56999999999999,25,261.77,46,39ers,tripp39,caemeron,caemeron
The Only Legitimate LTS Bowl League - L3,2,6,183.83,8,123.83,W,60.000000000000014,6,307.66,28,The WOKE FAAB,reginaldo,Egg Chasers,alexewart
The Only Legitimate LTS Bowl League - L3,2,7,164.41,11,153.34,W,11.069999999999993,44,317.75,22,SycamoreFlynns,SycamoreFlynns,Greenhorns,D3M090
The Only Legitimate LTS Bowl League - L3,2,8,123.83,6,183.83,L,60.000000000000014,6,307.66,28,Egg Chasers,alexewart,The WOKE FAAB,reginaldo
The Only Legitimate LTS Bowl League - L3,2,9,110.11,3,85.52,W,24.590000000000003,28,195.63,48,WilhelmTilt,ringular,Closet Poopers,coots1185
The Only Legitimate LTS Bowl League - L3,2,10,199.93,2,170.83,W,29.099999999999994,26,370.76,3,SOTBD,SOTBD,Speaks Kindly Holds Knife,Deredactyl
The Only Legitimate LTS Bowl League - L3,2,11,153.34,7,164.41,L,11.069999999999993,44,317.75,22,Greenhorns,D3M090,SycamoreFlynns,SycamoreFlynns
The Only Legitimate LTS Bowl League - L3,2,12,147.67,5,114.1,W,33.56999999999999,25,261.77,46,caemeron,caemeron,39ers,tripp39
The Only Legitimate LTS Bowl League - L3,3,1,0,8,39.6,NA,39.6,16,39.6,50,johnnysmomskid,johnnysmomskid,Egg Chasers,alexewart
The Only Legitimate LTS Bowl League - L3,3,2,0,7,0,NA,0,68,0,68,Speaks Kindly Holds Knife,Deredactyl,SycamoreFlynns,SycamoreFlynns
The Only Legitimate LTS Bowl League - L3,3,3,4.2,6,23.6,NA,19.400000000000002,34,27.8,53,Closet Poopers,coots1185,The WOKE FAAB,reginaldo
