Survival Week,League,Team,Owner,Score,Cumulative Score
3,The Only Legitimate LTS Bowl League - L3,Egg Chasers,alexewart,41,325.37
3,The Only Legitimate LTS Bowl League - L3,The WOKE FAAB,reginaldo,40.85,381.84000000000003
3,LTS Bowl - L1,ctjoumas,ctjoumas,35.85,387.08000000000004
3,LTS Bowl - L2,Crotch Crickets,jojodancer35,35.85,379.99
3,LTS Bowl - L4,West Coast Aunt,IreneTurner,35.85,358.46
3,LTS Bowl - L1,Chillin Like a McMillan,Klabbertrap,31.9,306.22999999999996
3,LTS Bowl - L4,Poop on the Cob,Joker1b,23.92,355.08
3,LTS Bowl - L2,Dr. Poop Show,Napper,19.45,318.43
3,LTS Bowl - L4,York Mobile Detailing,Bmullin105,18.45,369.92
3,LTS Bowl - L1,fromcutstobytes,fromcutstobytes,18.45,364.16
3,LTS Bowl - L2,"Your Mother, Actually….",DrWraith84,18,346.73
3,LTS Bowl - L1,Not Sure,bartonscott84,18,320.54
3,LTS Bowl - L4,Trailing Daler,teamdaler,17.5,280.26
3,LTS Bowl - L2,The Huge Mistaeks,RipSlabcheek,9.5,353.56
3,The Only Legitimate LTS Bowl League - L3,Turd Ferguson,TurdFergusonFF,9.5,345
3,LTS Bowl - L4,Charity Cases,crackofdawn321,5.95,354.69
3,LTS Bowl - L1,Becoming an LTS Bowl Bro,arthurdantas,5.95,284.86
3,LTS Bowl - L2,Byronchenko,Byronchenko,5.15,318.04
3,LTS Bowl - L4,The New Age Process,armandoguzman,4.2,342.06
3,LTS Bowl - L1,Bad Faith Bad Fantasy,cptbeefalo,4.2,299.25
3,LTS Bowl - L1,Not Great Bob,tommcg17,1,317.19
3,LTS Bowl - L4,The Lib Owners,nak97,1,298.07
3,The Only Legitimate LTS Bowl League - L3,SOTBD,SOTBD,0,406.56
3,LTS Bowl - L4,Chiotan Deck,apulianas,0,366.44
3,The Only Legitimate LTS Bowl League - L3,johnnysmomskid,johnnysmomskid,0,355.74
3,LTS Bowl - L1,Mr. High Tea,OhShagHennessy,0,352.11
3,LTS Bowl - L2,Natanab,Natanab,0,350.97
3,LTS Bowl - L1,Horsey Sauce,FeelingDangerouz,0,347.99
3,The Only Legitimate LTS Bowl League - L3,Speaks Kindly Holds Knife,Deredactyl,0,345.99
3,LTS Bowl - L2,Vandelay Industries,DGo81,0,330.31
3,LTS Bowl - L1,Weagle85,Weagle85,0,323.02
3,LTS Bowl - L1,fantasyscott,fantasyscott,0,321.75
3,LTS Bowl - L2,aspires,aspires,0,317.37
3,The Only Legitimate LTS Bowl League - L3,caemeron,caemeron,0,315.67999999999995
3,The Only Legitimate LTS Bowl League - L3,SycamoreFlynns,SycamoreFlynns,0,311.52
3,LTS Bowl - L1,Fozberry64,Fozberry64,0,301.26
3,LTS Bowl - L2,Randomizer Intern Program,matthewdwood82,0,284.07
3,LTS Bowl - L4,outshine13,outshine13,0,283.58
3,LTS Bowl - L2,All roads,stephensear,0,283.01
2,LTS Bowl - L4,Chiotan Deck,apulianas,238.18,366.44
2,The Only Legitimate LTS Bowl League - L3,SOTBD,SOTBD,199.93,406.56
2,LTS Bowl - L1,Horsey Sauce,FeelingDangerouz,197.12,347.99
2,LTS Bowl - L4,The New Age Process,armandoguzman,192.14,337.86
2,The Only Legitimate LTS Bowl League - L3,johnnysmomskid,johnnysmomskid,188.11,355.74
2,The Only Legitimate LTS Bowl League - L3,The WOKE FAAB,reginaldo,183.83,340.99
2,LTS Bowl - L1,fantasyscott,fantasyscott,175.58,321.75
2,LTS Bowl - L1,ctjoumas,ctjoumas,174.33,351.23
2,The Only Legitimate LTS Bowl League - L3,Speaks Kindly Holds Knife,Deredactyl,170.83,345.99
2,The Only Legitimate LTS Bowl League - L3,SycamoreFlynns,SycamoreFlynns,164.41,311.52
2,LTS Bowl - L4,Charity Cases,crackofdawn321,162.45,348.74
2,LTS Bowl - L1,fromcutstobytes,fromcutstobytes,162.06,345.71000000000004
2,LTS Bowl - L2,aspires,aspires,161.69,317.37
2,LTS Bowl - L2,Natanab,Natanab,159.5,350.97
2,LTS Bowl - L2,"Your Mother, Actually….",DrWraith84,154.9,328.73
2,LTS Bowl - L1,Fozberry64,Fozberry64,154.24,301.26
2,LTS Bowl - L2,Vandelay Industries,DGo81,154.1,330.31
2,LTS Bowl - L2,Crotch Crickets,jojodancer35,153.89,344.14
2,LTS Bowl - L2,Randomizer Intern Program,matthewdwood82,153.65,284.07
2,LTS Bowl - L1,Not Sure,bartonscott84,151.46,302.54
2,LTS Bowl - L2,Byronchenko,Byronchenko,150.59,312.89
2,LTS Bowl - L2,All roads,stephensear,148.25,283.01
2,The Only Legitimate LTS Bowl League - L3,caemeron,caemeron,147.67,315.67999999999995
2,LTS Bowl - L4,Poop on the Cob,Joker1b,146.07,331.15999999999997
2,LTS Bowl - L4,West Coast Aunt,IreneTurner,141.41,322.61
2,LTS Bowl - L4,York Mobile Detailing,Bmullin105,141.25,351.47
2,LTS Bowl - L2,Dr. Poop Show,Napper,140.84,298.98
2,LTS Bowl - L2,The Huge Mistaeks,RipSlabcheek,140.29,344.06
2,LTS Bowl - L1,Weagle85,Weagle85,137.06,323.02
2,LTS Bowl - L1,Not Great Bob,tommcg17,136.93,316.19
2,LTS Bowl - L1,Bad Faith Bad Fantasy,cptbeefalo,136.25,295.05
2,LTS Bowl - L1,Mr. High Tea,OhShagHennessy,135.75,352.11
2,The Only Legitimate LTS Bowl League - L3,Turd Ferguson,TurdFergusonFF,135.57,335.5
2,LTS Bowl - L1,Becoming an LTS Bowl Bro,arthurdantas,131.52,278.90999999999997
2,LTS Bowl - L4,Trailer Park Pimpin',JusCasKarDad,127,273.93
2,The Only Legitimate LTS Bowl League - L3,Egg Chasers,alexewart,123.83,284.37
2,LTS Bowl - L4,outshine13,outshine13,123.8,283.58
2,LTS Bowl - L1,Chillin Like a McMillan,Klabbertrap,122.07,274.33
2,LTS Bowl - L4,The Lib Owners,nak97,121.6,297.07
2,LTS Bowl - L4,Trailing Daler,teamdaler,120.54,262.76
2,LTS Bowl - L4,Shake and Bake,gogata12345,118.26,278.9
2,LTS Bowl - L2,AJ's Animals ,TheManSoNice,114.73,273.7
1,LTS Bowl - L1,Mr. High Tea,OhShagHennessy,216.36,216.36
1,LTS Bowl - L4,York Mobile Detailing,Bmullin105,210.22,210.22
1,The Only Legitimate LTS Bowl League - L3,SOTBD,SOTBD,206.63,206.63
1,LTS Bowl - L2,The Huge Mistaeks,RipSlabcheek,203.77,203.77
1,The Only Legitimate LTS Bowl League - L3,Turd Ferguson,TurdFergusonFF,199.93,199.93
1,LTS Bowl - L2,Natanab,Natanab,191.47,191.47
1,LTS Bowl - L2,Crotch Crickets,jojodancer35,190.25,190.25
1,LTS Bowl - L4,Charity Cases,crackofdawn321,186.29,186.29
1,LTS Bowl - L1,Weagle85,Weagle85,185.96,185.96
1,LTS Bowl - L4,Poop on the Cob,Joker1b,185.09,185.09
1,LTS Bowl - L1,fromcutstobytes,fromcutstobytes,183.65,183.65
1,LTS Bowl - L4,West Coast Aunt,IreneTurner,181.2,181.2
1,LTS Bowl - L1,Not Great Bob,tommcg17,179.26,179.26
1,LTS Bowl - L1,ctjoumas,ctjoumas,176.9,176.9
1,LTS Bowl - L2,Vandelay Industries,DGo81,176.21,176.21
1,LTS Bowl - L4,The Lib Owners,nak97,175.47,175.47
1,The Only Legitimate LTS Bowl League - L3,Speaks Kindly Holds Knife,Deredactyl,175.16,175.16
1,LTS Bowl - L2,"Your Mother, Actually….",DrWraith84,173.83,173.83
1,The Only Legitimate LTS Bowl League - L3,caemeron,caemeron,168.01,168.01
1,The Only Legitimate LTS Bowl League - L3,johnnysmomskid,johnnysmomskid,167.63,167.63
1,LTS Bowl - L2,Byronchenko,Byronchenko,162.3,162.3
1,The Only Legitimate LTS Bowl League - L3,39ers,tripp39,161.63,161.63
1,LTS Bowl - L4,Shake and Bake,gogata12345,160.64,160.64
1,The Only Legitimate LTS Bowl League - L3,Egg Chasers,alexewart,160.54,160.54
1,LTS Bowl - L4,outshine13,outshine13,159.78,159.78
1,LTS Bowl - L2,AJ's Animals ,TheManSoNice,158.97,158.97
1,LTS Bowl - L1,Bad Faith Bad Fantasy,cptbeefalo,158.8,158.8
1,The Only Legitimate LTS Bowl League - L3,WilhelmTilt,ringular,158.51,158.51
1,LTS Bowl - L2,Dr. Poop Show,Napper,158.14,158.14
1,The Only Legitimate LTS Bowl League - L3,The WOKE FAAB,reginaldo,157.16,157.16
1,LTS Bowl - L2,aspires,aspires,155.68,155.68
1,The Only Legitimate LTS Bowl League - L3,Closet Poopers,coots1185,153.35,153.35
1,LTS Bowl - L1,Chillin Like a McMillan,Klabbertrap,152.26,152.26
1,LTS Bowl - L1,Not Sure,bartonscott84,151.08,151.08
1,LTS Bowl - L1,Horsey Sauce,FeelingDangerouz,150.87,150.87
1,LTS Bowl - L1,Becoming an LTS Bowl Bro,arthurdantas,147.39,147.39
1,The Only Legitimate LTS Bowl League - L3,SycamoreFlynns,SycamoreFlynns,147.11,147.11
1,LTS Bowl - L1,Fozberry64,Fozberry64,147.02,147.02
1,LTS Bowl - L4,Trailer Park Pimpin',JusCasKarDad,146.93,146.93
1,LTS Bowl - L1,fantasyscott,fantasyscott,146.17,146.17
