Week,Category,League,Awardee,Opponent,Awardee Score,Opponent Score,Difference
3,Highest Score,The Only Legitimate LTS Bowl League - L3,Egg Chasers,johnnysmomskid,52.3,0,52.3
3,Lowest Score,LTS Bowl - L1,Weagle85,Mr. High Tea,0,0,0
3,Lowest Score,LTS Bowl - L1,Mr. High Tea,Weagle85,0,0,0
3,Lowest Score,LTS Bowl - L1,fantasyscott,Horsey Sauce,0,0,0
3,Lowest Score,LTS Bowl - L1,Horsey Sauce,fantasyscott,0,0,0
3,Lowest Score,LTS Bowl - L1,Fozberry64,Chillin Like a McMillan,0,48.4,48.4
3,Lowest Score,LTS Bowl - L2,Vandelay Industries,aspires,0,0,0
3,Lowest Score,LTS Bowl - L2,Natanab,Byronchenko,0,5.35,5.35
3,Lowest Score,LTS Bowl - L2,Randomizer Intern Program,Crotch Crickets,0,46.95,46.95
3,Lowest Score,LTS Bowl - L2,aspires,Vandelay Industries,0,0,0
3,Lowest Score,LTS Bowl - L2,AJ's Animals ,DeadEndFriends,0,27.65,27.65
3,Lowest Score,LTS Bowl - L2,All roads,Dr. Poop Show,0,23.1,23.1
3,Lowest Score,The Only Legitimate LTS Bowl League - L3,johnnysmomskid,Egg Chasers,0,52.3,52.3
3,Lowest Score,The Only Legitimate LTS Bowl League - L3,Speaks Kindly Holds Knife,SycamoreFlynns,0,0,0
3,Lowest Score,The Only Legitimate LTS Bowl League - L3,39ers,Turd Ferguson,0,20.75,20.75
3,Lowest Score,The Only Legitimate LTS Bowl League - L3,SycamoreFlynns,Speaks Kindly Holds Knife,0,0,0
3,Lowest Score,The Only Legitimate LTS Bowl League - L3,SOTBD,caemeron,0,0,0
3,Lowest Score,The Only Legitimate LTS Bowl League - L3,Greenhorns,WilhelmTilt,0,14.24,14.24
3,Lowest Score,The Only Legitimate LTS Bowl League - L3,caemeron,SOTBD,0,0,0
3,Lowest Score,LTS Bowl - L4,Chiotan Deck,The New Age Process,0,4.2,4.2
3,Lowest Score,LTS Bowl - L4,outshine13,The Lib Owners,0,1,1
3,Lowest Score,LTS Bowl - L4,Trailer Park Pimpin',Poop on the Cob,0,32.82,32.82
3,Lowest Score,LTS Bowl - L4,Shake and Bake,West Coast Aunt,0,46.95,46.95
2,Biggest Blowout,LTS Bowl - L4,Chiotan Deck,Shake and Bake,238.18,118.26,119.92
2,Narrowest Win,LTS Bowl - L2,"Your Mother, Actually….",Randomizer Intern Program,154.9,153.65,1.25
2,Fewest Points in Win,The Only Legitimate LTS Bowl League - L3,WilhelmTilt,Closet Poopers,110.11,85.52,24.590000000000003
2,Most Points in Loss,LTS Bowl - L4,Shake and Bake,Chiotan Deck,118.26,238.18,119.92
2,Highest Score,LTS Bowl - L4,Chiotan Deck,Shake and Bake,238.18,118.26,119.92
2,Lowest Score,The Only Legitimate LTS Bowl League - L3,Closet Poopers,WilhelmTilt,85.52,110.11,24.590000000000003
1,Biggest Blowout,The Only Legitimate LTS Bowl League - L3,SOTBD,Greenhorns,206.63,125.04,81.58999999999999
1,Narrowest Win,The Only Legitimate LTS Bowl League - L3,caemeron,johnnysmomskid,168.01,167.63,0.37999999999999545
1,Fewest Points in Win,LTS Bowl - L4,The New Age Process,SLOPPY STEAKS,145.72,96.46,49.260000000000005
1,Most Points in Loss,LTS Bowl - L1,Becoming an LTS Bowl Bro,Mr. High Tea,147.39,216.36,68.97000000000003
1,Highest Score,LTS Bowl - L1,Mr. High Tea,Becoming an LTS Bowl Bro,216.36,147.39,68.97000000000003
1,Lowest Score,LTS Bowl - L4,SLOPPY STEAKS,The New Age Process,96.46,145.72,49.260000000000005
